"Модуль","Код документа","Документ / что загрузить","Обязательность","Когда появляется","Какие поля заявки влияют","Что проверяется","Статус правила","Источник"
"Модуль 1","1.3.4","Проект маркировки первичной, промежуточной (при наличии) и вторичной упаковок в формате “doc” и “pdf”","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Упаковка: тип, материал, объем, количество, GTIN заполнено","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Применение и состав: Упаковка: тип, материал, объем, количество, GTIN","Проверить наличие: Проект маркировки первичной, промежуточной (при наличии) и вторичной упаковок в формате “doc” и “pdf” | Учесть условие из памятки: 1. Представляется в форматах «docx» и «pdf» 2.Представляются актуальные проекты, согласно последней процедуре внесения изменений | Формат файла: DOC/DOCX; при наличии требования — также PDF. | Формат файла: PDF должен соответствовать версии проекта/подписанного документа. | Проверить наличие первичной, промежуточной (если есть) и вторичной упаковки; совпадение маркировки, макетов и упаковки в заявке.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.3.5","Макет вторичной (потребительской) упаковки лекарственного препарата; Макет первичной (внутренней) упаковки лекарственного препарата; Макет промежуточной упаковки лекарственного препарата; Макет этикетки лекарственного препарата; Макет стикера лекарственного препарата;","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Упаковка: тип, материал, объем, количество, GTIN заполнено","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Применение и состав: Упаковка: тип, материал, объем, количество, GTIN","Проверить наличие: Макет вторичной (потребительской) упаковки лекарственного препарата; Макет первичной (внутренней) упаковки лекарственного препарата; Макет промежуточной упаковки лекарственного препарата; Макет этикетки лекарственного препарата; Макет стикера лекарственного препарата; | Учесть условие из памятки: Представляется в форматах «jpeg» и «pdf» | Формат файла: PDF должен соответствовать версии проекта/подписанного документа. | Формат макета: JPEG/PDF; масштаб 1:1, цветной макет. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой. | Проверить наличие первичной, промежуточной (если есть) и вторичной упаковки; совпадение маркировки, макетов и упаковки в заявке. | проверить формат/масштаб макета и наличие всех уровней упаковки | сверить текст макета с маркировкой, ОХЛП/инструкцией и полями заявки","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.3.6","Сравнительная таблица действующих общей характеристики лекарственного препарата и инструкции лекарственного препарата (листок-вкладыш)","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Тип лекарственного средства: Воспроизведенный (generic), Гибридный, Биоаналогичный препарат","Классификация: Тип лекарственного средства; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Сравнительная таблица действующих общей характеристики лекарственного препарата и инструкции лекарственного препарата (листок-вкладыш) | Учесть условие из памятки: В случае, если лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобный) При регистрации, перерегистрации, внесении изменений. | Проверить дату выдачи, срок действия и актуальность документа. | Проверить наличие казахской и русской версий, структуру, актуальность, соответствие ДСМ-101/Реш.88 и данным заявки. | Проверить построчную сравнительную таблицу: текущая/предлагаемая версия, выделение отличий, обоснование каждого отличия. | Сверить указанный оригинальный/референтный препарат с данными в форме заявки и исследованиях эквивалентности/сопоставимости. | проверить наличие выделения всех отличий | проверить наличие обоснования всех отличий | сверить референтный препарат с данными заявки | сверить торговое наименование, МНН, форму, дозировку, состав, способ введения и условия хранения с заявкой | проверить наличие казахской и русской версий","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.4.1","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.4.2","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Тип лекарственного средства: Оригинальный, Гибридный, Биоаналогичный препарат, Биологический, biotechnological, immunological, Вакцина, Растительный препарат, Гомеопатический препарат, Радиофармацевтический препарат, advanced_therapy или Представляются доклинические исследования = Да)","Классификация: Тип лекарственного средства; Нет в текущей форме / требуется уточнение: Представляются доклинические исследования; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта. | Проверить протокол, отчёт, разрешение регулятора, одобрение этической комиссии, страхование, ИРК/CRF и договоры, если применимо. | Проверить вид исследования, GLP/валидность отчёта, дозы/модели/выводы и соответствие заявленному типу препарата.","Нужно экспертно проверить формулировку","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.4.3","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Есть клинические исследования = Да или Требуется биоэквивалентность = Да или Тип лекарственного средства: Оригинальный, Гибридный, Биоаналогичный препарат, Биологический, biotechnological, immunological, Вакцина, Радиофармацевтический препарат, advanced_therapy)","Классификация: Тип лекарственного средства; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Применение и состав: Есть клинические исследования; Применение и состав: Требуется биоэквивалентность","Проверить наличие: Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта. | Проверить протокол, отчёт, разрешение регулятора, одобрение этической комиссии, страхование, ИРК/CRF и договоры, если применимо.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.5.1","Письмо ДРУ/производителя о том, что лекарственный препарат содержит/не содержат генетически модифицированные организмы или получены из них. При наличии ГМО – сертификат от уполномоченного/компетентного органа страны-производителя Сертификат соответствия статье Европейской фармакопеи по губчатой энцефалопатии или СЕР или TSE/BSE выданный УО ветеринарного надзора страны происхождения сырья.","Условие есть, но требуется уточнить/добавить поле в форме","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Содержит или получен из ГМО = Да или Вещества человеческого / животного происхождения = Да)","Классификация: Вещества человеческого / животного происхождения; Классификация: Содержит или получен из ГМО; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Письмо ДРУ/производителя о том, что лекарственный препарат содержит/не содержат генетически модифицированные организмы или получены из них. При наличии ГМО – сертификат от уполномоченного/компетентного органа страны-производителя Сертификат соответствия статье Европейской фармакопеи по губчатой энцефалопатии или СЕР или TSE/BSE выданный УО ветеринарного надзора страны происхождения сырья. | Сверить сведения с заявкой и связанными разделами досье. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | Проверить письмо о наличии/отсутствии ГМО и сертификат компетентного органа при наличии ГМО.","Не хватает явного поля или значения в форме","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.6","Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан;","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан; | Проверить наличие ответственного лица/контактов/деклараций; для PSUR — период охвата; для ПУР — соответствие типу препарата.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.6.1","Мастер-файл системы фармаконадзора держателя регистрационного удостоверения*; Краткая характеристика системы фармаконадзора держателя регистрационного удостоверения#, включающая в том числе: - декларацию, подписанную держателем регистрационного удостоверения о том, что он имеет систему фармаконадзора для выполнения задач и обязанностей по пострегистрационному контролю безопасности лекарственных средств, - ссылку на место (адрес), где хранится мастер-файл системы фармаконадзора - подтверждение того, что держатель регистрационного удостоверения имеет в своем распоряжении уполномоченное лицо за глобальный фармаконадзор; контактные данные уполномоченного лица за глобальный фармаконадзор,","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Мастер-файл системы фармаконадзора держателя регистрационного удостоверения*; Краткая характеристика системы фармаконадзора держателя регистрационного удостоверения#, включающая в том числе: - декларацию, подписанную держателем регистрационного удостоверения о том, что он имеет систему фармаконадзора для выполнения задач и обязанностей по пострегистрационному контролю безопасности лекарственных средств, - ссылку на место (адрес), где хранится мастер-файл системы фармаконадзора - подтверждение того, что держатель регистрационного удостоверения имеет в своем распоряжении уполномоченное лицо за глобальный фармаконадзор; контактные данные уполномоченного лица за глобальный фармаконадзор, | Учесть условие из памятки: 1.Представляется при регистрации, перерегистрации, внесении изменений, в случае если затрагивает данный раздел. 2.Мастер-файл системы фармаконадзора держателя регистрационного удостоверения в соответствии с надлежащей практикой фармаконадзора Евразийского экономического союза, представляется в случае, если когда держатель регистрационного удостоверения впервые подает заявку на регистрацию лекарственного препарата. 3. Краткая характеристика системы фармаконадзора держателя регистрационного удостоверения представляется при регистрации (если ДРУ уже имеет зарегистрированные ЛС и предоставлял МФСФН ) перерегистрации, внесении изменений | Сверить сведения с заявкой и связанными разделами досье. | Проверить наличие ответственного лица/контактов/деклараций; для PSUR — период охвата; для ПУР — соответствие типу препарата.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.6.2","Периодически обновляемый отчет по безопасности (ПСУР) с данными за последние 5 лет с переводом резюмирующей части на русский язык","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Тип лекарственного средства = well_established","Классификация: Тип лекарственного средства; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Периодически обновляемый отчет по безопасности (ПСУР) с данными за последние 5 лет с переводом резюмирующей части на русский язык | Учесть условие из памятки: При перерегистрации и при регистрации хорошо изученных лекарственных препаратах | Проверить наличие ответственного лица/контактов/деклараций; для PSUR — период охвата; для ПУР — соответствие типу препарата.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.6.3","План управления рисками на лекарственный препарат","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Тип лекарственного средства: Оригинальный, Биоаналогичный препарат, Биологический, biotechnological, immunological, Вакцина или Биологический лекарственный препарат = Да или Иммунобиологический лекарственный препарат = Да или Препарат требует дополнительного мониторинга безопасности = Да)","Классификация: Биологический лекарственный препарат; Классификация: Иммунобиологический лекарственный препарат; Классификация: Препарат требует дополнительного мониторинга безопасности; Классификация: Тип лекарственного средства; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: План управления рисками на лекарственный препарат | Учесть условие из памятки: Для оригинального лекарственного препарата, биоаналогичного, биологического, биотехнологического, а также иммунологического лекарственного препарата | Сверить указанный оригинальный/референтный препарат с данными в форме заявки и исследованиях эквивалентности/сопоставимости. | Проверить наличие ответственного лица/контактов/деклараций; для PSUR — период охвата; для ПУР — соответствие типу препарата.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.6.4","Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан;","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан; | Учесть условие из памятки: Данные должны соответствовать информации изложенной в МФСФ или, краткой характеристикой системы фармаконадзора | Сверить сведения с заявкой и связанными разделами досье. | Проверить наличие ответственного лица/контактов/деклараций; для PSUR — период охвата; для ПУР — соответствие типу препарата.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.1.","Содержание частей 2.3.4.5","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Содержание частей 2.3.4.5","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S","Активная фармацевтическая субстанция","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Учесть условие из памятки: В случае наличия двух и более активных фармацевтических субстанций, отдельная документация предоставляется относительно каждой АФС. Раздел части S модуля регистрационного досье должен представляться исключительно от производителя АФС. В случае, если имеется несколько площадок производства АФС, данные представляются от каждого производителя. Документы должны содержать информацию о принадлежности к компании/организации (фирменный бланк или др), нумерация страниц, номер страницы из общего числа страниц, колонтитулы (информация об обозначении документа, редакция или версия и др.). Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.1","2.3.S.1 Общая информация","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: 2.3.S.1 Общая информация","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.2","2.3.S.2 Производство","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: 2.3.S.2 Производство | Учесть условие из памятки: Документ, с указанием всех производственных площадок, участвующих в процессе производства каждой АФС с указанием этапа производства. Для биологических лекарственных препаратов должны быть перечислены все площадки, осуществляющие хранение главного и рабочего банков клеток, и площадки, осуществляющие приготовление рабочего банка клеток. Информация включает: Наименование стадии произв.процесса* Активная фармсубстанция Наименование юрлица* Адрес места осуществления деятельности* Государство* Номер телефона* Электронная почта* Приложите схему, включающую последовательность и действия для различных производственных площадок, вовлеченных в процесс производства, включая выпускающий контроль | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.3","Характеристика","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Характеристика | Учесть условие из памятки: Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.4","Контроль активного вещества","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Контроль активного вещества | Учесть условие из памятки: Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.5","Стандартные образцы или вещества","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Стандартные образцы или вещества | Учесть условие из памятки: Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.6","Система упаковка (укупорка)","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Система упаковка (укупорка) | Учесть условие из памятки: Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье. | Проверить наличие первичной, промежуточной (если есть) и вторичной упаковки; совпадение маркировки, макетов и упаковки в заявке.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 2","2.3.S.7","Стабильность","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Полный качественный и количественный состав содержит ","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Стабильность | Учесть условие из памятки: Представленная информация должна соответствовать разделу 3.2. S модуля 3 РД | Сверить сведения с заявкой и связанными разделами досье. | Проверить серии, условия, продолжительность, протокол/обязательства и соответствие заявленным срокам хранения.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
